,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field Type,CROP,Ownership,Extenstion Program,Irrigation used?,Is the Soil Erosion,Measures taken to prevent Soil Erosion,SEED TYPE,Is there Damage?,Measure taken to prevent damage,Damage measure taken type,Fertilizer Used?,Fertilizer Type,How many times do you produce crops,What was the field used for?,APERCENT,Household Id,Sampling Weight,Weight of non-improved seed,"If Chemical Fertilizer,Quantity in KG",CERROR,Area in Square meter,Production Of Condition in Kg,Fertilizer Quantity
124,1.0,1.0,1.0,13.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,66.0,352.88,2.08,0.0,4.17,981.17,195.25300000000001,0.0
127,1.0,1.0,1.0,13.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,74.0,352.88,1.9,0.0,2.51,895.45,178.19500000000002,0.0
130,1.0,1.0,1.0,13.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,90.0,352.88,1.6,0.0,1.9,2807.7999999999997,558.752,0.0
133,1.0,1.0,1.0,13.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,98.0,352.88,2.03,0.0,2.8,1624.66,323.307,0.0
135,1.0,1.0,1.0,13.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,114.0,352.88,2.15,0.0,3.03,1180.27,234.87400000000002,0.0
152,1.0,1.0,1.0,13.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,170.0,352.88,0.55,0.0,4.67,176.93,35.209,0.0
155,1.0,1.0,1.0,13.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,186.0,352.88,1.73,0.0,1.37,205.98999999999998,40.992,0.0
158,1.0,1.0,1.0,13.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,194.0,352.88,0.74,0.0,1.93,154.19,30.684,0.0
160,1.0,1.0,1.0,13.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,210.0,352.88,1.05,0.0,1.16,639.2399999999999,127.20899999999999,0.0
163,1.0,1.0,1.0,13.0,5.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,218.0,352.88,2.0,0.0,1.58,227.10999999999999,45.19499999999999,0.0
164,1.0,1.0,1.0,13.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,234.0,352.88,3.02,0.0,0.78,272.79,54.285,0.0
169,1.0,1.0,1.0,16.0,7.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,4.0,254.85,1.06,0.0,0.9,336.45,66.95400000000001,0.0
174,1.0,1.0,1.0,16.0,7.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,29.0,254.85,1.06,0.0,1.23,854.1600000000001,169.978,0.0
175,1.0,1.0,1.0,16.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,34.0,254.85,3.02,0.0,3.06,276.37,54.99799999999999,0.0
178,1.0,1.0,1.0,16.0,7.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,50.0,254.85,4.03,0.0,1.19,773.9300000000001,154.012,0.0
