,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field Type,CROP,Ownership,Extenstion Program,Irrigation used?,Is the Soil Erosion,Measures taken to prevent Soil Erosion,SEED TYPE,Is there Damage?,Measure taken to prevent damage,Damage measure taken type,Fertilizer Used?,Fertilizer Type,How many times do you produce crops,What was the field used for?,APERCENT,Household Id,Sampling Weight,Weight of non-improved seed,"If Chemical Fertilizer,Quantity in KG",CERROR,Area in Square meter,Production Of Condition in Kg,Fertilizer Quantity
2265,1.0,2.0,2.0,5.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,81.0,316.65,10.65,9.48,1.81,476.82000000000005,56.265,9.48
2288,1.0,2.0,2.0,5.0,4.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,105.0,316.65,12.7,7.9,1.5925029324190205,354.22,41.798,7.9
2289,1.0,2.0,2.0,5.0,4.0,2.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,50.0,105.0,316.65,5.68,11.06,1.5925029324190205,354.22,41.798,11.06
2294,1.0,2.0,2.0,5.0,4.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,50.0,109.0,316.65,7.25,7.9,2.15,165.57,19.537,7.9
2296,1.0,2.0,2.0,5.0,4.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,60.0,109.0,316.65,6.65,15.8,1.94,418.3,49.359,15.8
2303,1.0,2.0,2.0,5.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,117.0,316.65,6.39,7.9,3.78,181.61,21.43,7.9
2317,1.0,2.0,2.0,9.0,3.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,31.0,345.62,18.7,0.0,0.64,687.32,203.44699999999997,0.0
2335,1.0,2.0,2.0,9.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,71.0,345.62,9.75,6.32,3.75,644.0600000000001,190.642,6.32
2379,1.0,2.0,2.0,17.0,5.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,10.0,348.87,3.5,7.9,2.75,240.66,18.770999999999997,7.9
2394,1.0,2.0,2.0,17.0,5.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,26.0,348.87,4.2,2.37,0.77,255.76999999999998,19.950000000000003,2.37
2396,1.0,2.0,2.0,17.0,5.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,26.0,348.87,1.4,0.0,4.14,176.93,13.801000000000002,0.0
2402,1.0,2.0,2.0,17.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,38.0,348.87,4.2,2.37,0.75,236.07,18.413,2.37
2411,1.0,2.0,2.0,17.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,100.0,46.0,348.87,7.0,7.9,1.05,174.68,13.625000000000002,7.9
2420,1.0,2.0,2.0,17.0,5.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,50.0,62.0,348.87,4.2,2.37,2.43,361.72999999999996,28.215,2.37
2422,1.0,2.0,2.0,17.0,5.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,75.0,62.0,348.87,4.2,2.37,1.25,126.02000000000001,9.83,2.37
2436,1.0,2.0,2.0,17.0,5.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,50.0,82.0,348.87,17.25,9.88,0.86,743.9900000000001,58.031,9.88
2442,1.0,2.0,2.0,17.0,5.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,82.0,348.87,4.2,2.37,1.32,737.3000000000001,57.509,2.37
2452,1.0,2.0,2.0,17.0,5.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,94.0,348.87,7.0,3.95,1.33,239.02,18.644,3.95
2459,1.0,2.0,2.0,17.0,5.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,106.0,348.87,4.2,3.95,3.3,420.75,32.818999999999996,3.95
2466,1.0,2.0,2.0,17.0,5.0,2.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,100.0,110.0,348.87,5.6,0.0,3.21,749.25,58.44199999999999,0.0
2476,1.0,2.0,2.0,22.0,3.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,13.0,409.57,5.2,13.25,1.32,242.42,27.877999999999997,13.25
2477,1.0,2.0,2.0,22.0,3.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,13.0,409.57,8.65,10.25,3.16,471.32,54.202000000000005,10.25
2479,1.0,2.0,2.0,22.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,18.0,409.57,8.75,13.5,3.24,405.92,46.681,13.5
2484,1.0,2.0,2.0,22.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,50.0,28.0,409.57,9.26,9.95,4.8,480.18,55.221,9.95
2486,1.0,2.0,2.0,22.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,50.0,28.0,409.57,3.91,6.35,2.79,241.8,27.807,6.35
2490,1.0,2.0,2.0,22.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,43.0,409.57,4.85,6.25,1.74,333.81,38.388,6.25
2492,1.0,2.0,2.0,22.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,50.0,43.0,409.57,8.85,11.0,0.95,310.3,35.685,11.0
2497,1.0,2.0,2.0,22.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,50.0,48.0,409.57,7.32,0.0,3.51,396.21000000000004,45.564,0.0
